N_UC,N_A,N_B
80,80,80
124,124,124
168,168,168
212,212,212
257,257,257
301,301,301
345,345,345
389,389,389
433,433,433
477,477,477
521,521,521
565,565,565
609,609,609
653,653,653
698,698,698
742,742,742
786,786,786
830,830,830
874,874,874
918,918,918
